,orders.id,orders.name,orders.line_items.id,orders.fulfillment_status,orders.line_items.sku,orders.line_items.quantity,orders.line_items.fulfillment_status,orders.line_items.fulfillable_quantity,,,,,,,
5577551-149986,1227585618049,#5577551,2616903925889,partial,149986,8,fulfilled,0,,,,,,,
5577551-366790,1227585618049,#5577551,2616903958657,partial,366790,3,pending,3,,,,,,,
5577551-971635,1227585618049,#5577551,2616903991425,partial,971635,3,pending,3,,,,,,,
5577551-2842886,1227585618049,#5577551,2616904024193,partial,2842886,1,pending,1,,,,,,,
5577551-20144,1227585618049,#5577551,2616904056961,partial,20144,1,pending,1,,,,,,,
5577551-866960,1227585618049,#5577551,2616904089729,partial,866960,1,pending,1,,,,,,,
5577551-370097,1227585618049,#5577551,2616904122497,partial,370097,1,pending,1,,,,,,,
5577551-807585,1227585618049,#5577551,2616904155265,partial,807585,1,pending,1,,,,,,,
5577551-45763,1227585618049,#5577551,2616904188033,partial,45763,1,fulfilled,0,,,,,,,
5577551-26912,1227585618049,#5577551,2616904220801,partial,26912,1,pending,1,,,,,,,
5577551-723819,1227585618049,#5577551,2616904253569,partial,723819,1,fulfilled,0,,,,,,,
5577551-723739,1227585618049,#5577551,2616904286337,partial,723739,1,pending,1,,,,,,,
5577551-723740,1227585618049,#5577551,2616904319105,partial,723740,1,pending,1,,,,,,,
5577551-687226,1227585618049,#5577551,2616904351873,partial,687226,1,fulfilled,0,,,,,,,
5577548-757103,1227585519745,#5577548,2616903696513,partial,757103,1,pending,1,,,,,,,
5577548-2728676,1227585519745,#5577548,2616903729281,partial,2728676,1,fulfilled,0,,,,,,,
5577548-2896428,1227585519745,#5577548,2616903762049,partial,2896428,1,fulfilled,0,,,,,,,
5577548-48566,1227585519745,#5577548,2616903794817,partial,48566,6,pending,6,,,,,,,
5577548-2537589,1227585519745,#5577548,2616903827585,partial,2537589,3,pending,3,,,,,,,
5577506-2949467,1227584143489,#5577506,2616900944001,partial,2949467,1,pending,1,,,,,,,
5577506-2949464,1227584143489,#5577506,2616900976769,partial,2949464,1,fulfilled,0,,,,,,,
5577506-2949469,1227584143489,#5577506,2616901009537,partial,2949469,1,pending,1,,,,,,,
5577482-2942998,1227583357057,#5577482,2616899076225,fulfilled,2942998,2,fulfilled,0,,,,,,,
5577482-2938236,1227583357057,#5577482,2616899108993,fulfilled,2938236,1,fulfilled,0,,,,,,,
5577477-798219,1227583193217,#5577477,2616898617473,fulfilled,798219,2,fulfilled,0,,,,,,,
5577477-331509,1227583193217,#5577477,2616898650241,fulfilled,331509,1,fulfilled,0,,,,,,,
5577431-570355,1227581685889,#5577431,2616895275137,partial,570355,1,fulfilled,0,,,,,,,
5577431-859025,1227581685889,#5577431,2616895307905,partial,859025,1,pending,1,,,,,,,
5577431-807583,1227581685889,#5577431,2616895340673,partial,807583,1,pending,1,,,,,,,
5577431-613405,1227581685889,#5577431,2616895373441,partial,613405,1,fulfilled,0,,,,,,,
5577401-377179,1227580702849,#5577401,2616893177985,partial,377179,2,pending,2,,,,,,,
5577401-2880874,1227580702849,#5577401,2616893210753,partial,2880874,1,fulfilled,0,,,,,,,
5577401-583608,1227580702849,#5577401,2616893243521,partial,583608,1,pending,1,,,,,,,
5577401-761482,1227580702849,#5577401,2616893276289,partial,761482,1,pending,1,,,,,,,
5577401-2641173,1227580702849,#5577401,2616893309057,partial,2641173,1,pending,1,,,,,,,
5577401-937956,1227580702849,#5577401,2616893341825,partial,937956,1,fulfilled,0,,,,,,,
5577401-ecofee-sku-1,1227580702849,#5577401,2616893374593,partial,ecofee-sku-1,1,pending,1,,,,,,,
5577290-2093672,1227577065601,#5577290,2616883085441,fulfilled,2093672,1,fulfilled,0,,,,,,,
5577290-54186,1227577065601,#5577290,2616883118209,fulfilled,54186,2,fulfilled,0,,,,,,,
5577172-2926090,1227573198977,#5577172,2616873287809,partial,2926090,1,pending,1,,,,,,,
5577172-15084,1227573198977,#5577172,2616873320577,partial,15084,1,pending,1,,,,,,,
5577172-15083,1227573198977,#5577172,2616873353345,partial,15083,1,fulfilled,0,,,,,,,
5577172-1020788,1227573198977,#5577172,2616873386113,partial,1020788,3,fulfilled,0,,,,,,,
5577172-2839181,1227573198977,#5577172,2616873418881,partial,2839181,2,pending,2,,,,,,,
5577091-2093669,1227570544769,#5577091,2616867258497,fulfilled,2093669,1,fulfilled,0,,,,,,,
5577091-2146135,1227570544769,#5577091,2616867291265,fulfilled,2146135,1,fulfilled,0,,,,,,,
5576871-2926231,1227563335809,#5576871,2616849367169,fulfilled,2926231,1,fulfilled,0,,,,,,,
5576871-2911357,1227563335809,#5576871,2616849399937,fulfilled,2911357,10,fulfilled,0,,,,,,,
5576871-2942943,1227563335809,#5576871,2616849432705,fulfilled,2942943,4,fulfilled,0,,,,,,,
5576871-2937595,1227563335809,#5576871,2616849465473,fulfilled,2937595,1,fulfilled,0,,,,,,,
5576871-582353,1227563335809,#5576871,2616849498241,fulfilled,582353,10,fulfilled,0,,,,,,,
5576845-1519158,1227562483841,#5576845,2616847401089,fulfilled,1519158,1,fulfilled,0,,,,,,,
5576845-2801239,1227562483841,#5576845,2616847433857,fulfilled,2801239,2,fulfilled,0,,,,,,,
5576830-27029,1227561992321,#5576830,2616845762689,fulfilled,27029,1,fulfilled,0,,,,,,,
5576830-1013584,1227561992321,#5576830,2616845795457,fulfilled,1013584,1,fulfilled,0,,,,,,,
5576830-26859,1227561992321,#5576830,2616845828225,fulfilled,26859,1,fulfilled,0,,,,,,,
5576830-621475,1227561992321,#5576830,2616845860993,fulfilled,621475,11,fulfilled,0,,,,,,,
5576830-905203,1227561992321,#5576830,2616845893761,fulfilled,905203,2,fulfilled,0,,,,,,,
5576830-917508,1227561992321,#5576830,2616845926529,fulfilled,917508,1,fulfilled,0,,,,,,,
5576830-14006,1227561992321,#5576830,2616845959297,fulfilled,14006,5,fulfilled,0,,,,,,,
5576830-854847,1227561992321,#5576830,2616845992065,fulfilled,854847,1,fulfilled,0,,,,,,,
5576830-13535,1227561992321,#5576830,2616846024833,fulfilled,13535,2,fulfilled,0,,,,,,,
5576753-36785,1227559469185,#5576753,2616839569537,partial,36785,1,fulfilled,0,,,,,,,
5576753-2888961,1227559469185,#5576753,2616839602305,partial,2888961,6,pending,6,,,,,,,
5576753-2963263,1227559469185,#5576753,2616839635073,partial,2963263,1,fulfilled,0,,,,,,,
5576753-2942011,1227559469185,#5576753,2616839667841,partial,2942011,1,fulfilled,0,,,,,,,
5576749-736198,1227559338113,#5576749,2616838979713,fulfilled,736198,1,fulfilled,0,,,,,,,
5576749-444817,1227559338113,#5576749,2616839012481,fulfilled,444817,1,fulfilled,0,,,,,,,
5576749-2962664,1227559338113,#5576749,2616839045249,fulfilled,2962664,1,fulfilled,0,,,,,,,
5576749-917698,1227559338113,#5576749,2616839078017,fulfilled,917698,1,fulfilled,0,,,,,,,
5576749-672742,1227559338113,#5576749,2616839110785,fulfilled,672742,1,fulfilled,0,,,,,,,
5576749-2091518,1227559338113,#5576749,2616839143553,fulfilled,2091518,1,fulfilled,0,,,,,,,
5576749-1928485,1227559338113,#5576749,2616839176321,fulfilled,1928485,1,fulfilled,0,,,,,,,
5576749-1928475,1227559338113,#5576749,2616839209089,fulfilled,1928475,1,fulfilled,0,,,,,,,
5576749-835506,1227559338113,#5576749,2616839241857,fulfilled,835506,1,fulfilled,0,,,,,,,
5576749-1292669,1227559338113,#5576749,2616839274625,fulfilled,1292669,1,fulfilled,0,,,,,,,
5576749-820928,1227559338113,#5576749,2616839307393,fulfilled,820928,48,fulfilled,0,,,,,,,
5576749-816231,1227559338113,#5576749,2616839340161,fulfilled,816231,144,fulfilled,0,,,,,,,
5576749-33219,1227559338113,#5576749,2616839372929,fulfilled,33219,3,fulfilled,0,,,,,,,
5576608-582353,1227554717825,#5576608,2616828199041,fulfilled,582353,1,fulfilled,0,,,,,,,
5576608-132361,1227554717825,#5576608,2616828231809,fulfilled,132361,1,fulfilled,0,,,,,,,
5576608-20184,1227554717825,#5576608,2616828264577,fulfilled,20184,1,fulfilled,0,,,,,,,
5576608-435035,1227554717825,#5576608,2616828297345,fulfilled,435035,1,fulfilled,0,,,,,,,
5576605-621475,1227554619521,#5576605,2616828002433,fulfilled,621475,10,fulfilled,0,,,,,,,
5576605-1612059,1227554619521,#5576605,2616828035201,fulfilled,1612059,12,fulfilled,0,,,,,,,
5576546-643687,1227552686209,#5576546,2616824004737,fulfilled,643687,1,fulfilled,0,,,,,,,
5576546-2960890,1227552686209,#5576546,2616824037505,fulfilled,2960890,1,fulfilled,0,,,,,,,
5575862-12868,1227530272897,#5575862,2616770723969,partial,12868,2,fulfilled,0,,,,,,,
5575862-2943527,1227530272897,#5575862,2616770756737,partial,2943527,1,fulfilled,0,,,,,,,
5575862-2943521,1227530272897,#5575862,2616770789505,partial,2943521,1,pending,1,,,,,,,
5575862-621639,1227530272897,#5575862,2616770822273,partial,621639,1,pending,1,,,,,,,
5575862-2943522,1227530272897,#5575862,2616770855041,partial,2943522,1,pending,1,,,,,,,
5575862-496993,1227530272897,#5575862,2616770887809,partial,496993,1,pending,1,,,,,,,
5575841-2937060,1227529584769,#5575841,2616768331905,fulfilled,2937060,2,fulfilled,0,,,,,,,
5575841-2935314,1227529584769,#5575841,2616768364673,fulfilled,2935314,1,fulfilled,0,,,,,,,
5575841-2935311,1227529584769,#5575841,2616768397441,fulfilled,2935311,2,fulfilled,0,,,,,,,
5575841-2935305,1227529584769,#5575841,2616768430209,fulfilled,2935305,2,fulfilled,0,,,,,,,
5575841-2937055,1227529584769,#5575841,2616768462977,fulfilled,2937055,2,fulfilled,0,,,,,,,
5575841-2935306,1227529584769,#5575841,2616768495745,fulfilled,2935306,1,fulfilled,0,,,,,,,
5575841-2946191,1227529584769,#5575841,2616768528513,fulfilled,2946191,1,fulfilled,0,,,,,,,
5575841-2937059,1227529584769,#5575841,2616768561281,fulfilled,2937059,2,fulfilled,0,,,,,,,
5575841-2935304,1227529584769,#5575841,2616768594049,fulfilled,2935304,2,fulfilled,0,,,,,,,
5575841-582353,1227529584769,#5575841,2616768626817,fulfilled,582353,2,fulfilled,0,,,,,,,
5575657-2801244,1227523555457,#5575657,2616755290241,fulfilled,2801244,1,fulfilled,0,,,,,,,
5575657-2943528,1227523555457,#5575657,2616755323009,fulfilled,2943528,1,fulfilled,0,,,,,,,
5575513-2867379,1227518836865,#5575513,2616744181889,fulfilled,2867379,1,fulfilled,0,,,,,,,
5575513-2943302,1227518836865,#5575513,2616744214657,fulfilled,2943302,1,fulfilled,0,,,,,,,
5575199-2801239,1227508514945,#5575199,2616722129025,fulfilled,2801239,1,fulfilled,0,,,,,,,
5575199-1619901,1227508514945,#5575199,2616722161793,fulfilled,1619901,2,fulfilled,0,,,,,,,
5575140-2958794,1227506581633,#5575140,2616718590081,partial,2958794,1,fulfilled,0,,,,,,,
5575140-2637829,1227506581633,#5575140,2616718622849,partial,2637829,1,fulfilled,0,,,,,,,
5575140-853656,1227506581633,#5575140,2616718655617,partial,853656,1,fulfilled,0,,,,,,,
5575140-621475,1227506581633,#5575140,2616718688385,partial,621475,10,fulfilled,0,,,,,,,
5575140-1013597,1227506581633,#5575140,2616718721153,partial,1013597,2,fulfilled,0,,,,,,,
5575140-231611,1227506581633,#5575140,2616718753921,partial,231611,6,fulfilled,0,,,,,,,
5575140-582353,1227506581633,#5575140,2616718786689,partial,582353,1,fulfilled,0,,,,,,,
5575140-2942551,1227506581633,#5575140,2616718819457,partial,2942551,2,fulfilled,0,,,,,,,
5575140-2942567,1227506581633,#5575140,2616718852225,partial,2942567,3,fulfilled,0,,,,,,,
5575140-745148,1227506581633,#5575140,2616718884993,partial,745148,4,fulfilled,0,,,,,,,
5575140-ecofee-sku-1,1227506581633,#5575140,2616718917761,partial,ecofee-sku-1,4,pending,4,,,,,,,
5575090-2925206,1227504943233,#5575090,2616716001409,partial,2925206,1,fulfilled,0,,,,,,,
5575090-2941039,1227504943233,#5575090,2616716034177,partial,2941039,1,pending,1,,,,,,,
5575090-2846543,1227504943233,#5575090,2616716066945,partial,2846543,1,fulfilled,0,,,,,,,
5575090-456662,1227504943233,#5575090,2616716099713,partial,456662,10,fulfilled,0,,,,,,,
5575067-739233,1227504189569,#5575067,2616714788993,fulfilled,739233,1,fulfilled,0,,,,,,,
5575067-739226,1227504189569,#5575067,2616714821761,fulfilled,739226,1,fulfilled,0,,,,,,,
5575067-739229,1227504189569,#5575067,2616714854529,fulfilled,739229,1,fulfilled,0,,,,,,,
5575067-181515,1227504189569,#5575067,2616714887297,fulfilled,181515,1,fulfilled,0,,,,,,,
5575067-181519,1227504189569,#5575067,2616714920065,fulfilled,181519,1,fulfilled,0,,,,,,,
5575067-739092,1227504189569,#5575067,2616714952833,fulfilled,739092,1,fulfilled,0,,,,,,,
5575061-2938050,1227503992961,#5575061,2616714199169,fulfilled,2938050,1,fulfilled,0,,,,,,,
5575061-2879013,1227503992961,#5575061,2616714231937,fulfilled,2879013,1,fulfilled,0,,,,,,,
5575061-2965215,1227503992961,#5575061,2616714264705,fulfilled,2965215,1,fulfilled,0,,,,,,,
5575061-23999368,1227503992961,#5575061,2616714297473,fulfilled,23999368,1,fulfilled,0,,,,,,,
5575061-2856892,1227503992961,#5575061,2616714330241,fulfilled,2856892,1,fulfilled,0,,,,,,,
5575061-24337384,1227503992961,#5575061,2616714363009,fulfilled,24337384,3,fulfilled,0,,,,,,,
5575061-2961983,1227503992961,#5575061,2616714395777,fulfilled,2961983,1,fulfilled,0,,,,,,,
5573981-2695312,1227468603521,#5573981,2616655118465,partial,2695312,1,fulfilled,0,,,,,,,
5573981-853656,1227468603521,#5573981,2616655151233,partial,853656,1,pending,1,,,,,,,
5573981-582353,1227468603521,#5573981,2616655184001,partial,582353,1,pending,1,,,,,,,
5573981-13166,1227468603521,#5573981,2616655216769,partial,13166,2,partial,1,,,,,,,
5573981-384619,1227468603521,#5573981,2616655249537,partial,384619,4,fulfilled,0,,,,,,,
5573977-760990,1227468472449,#5573977,2616654889089,partial,760990,1,fulfilled,0,,,,,,,
5573977-2941685,1227468472449,#5573977,2616654921857,partial,2941685,1,fulfilled,0,,,,,,,
5573977-ecofee-sku-1,1227468472449,#5573977,2616654954625,partial,ecofee-sku-1,1,pending,1,,,,,,,
5573830-1517211,1227463655553,#5573830,2616647352449,fulfilled,1517211,4,fulfilled,0,,,,,,,
5573830-977954,1227463655553,#5573830,2616647385217,fulfilled,977954,1,fulfilled,0,,,,,,,
5573830-324665,1227463655553,#5573830,2616647417985,fulfilled,324665,1,fulfilled,0,,,,,,,
5573817-798498,1227463229569,#5573817,2616646140033,fulfilled,798498,1,fulfilled,0,,,,,,,
5573817-798219,1227463229569,#5573817,2616646172801,fulfilled,798219,18,fulfilled,0,,,,,,,
5573817-592678,1227463229569,#5573817,2616646205569,fulfilled,592678,1,fulfilled,0,,,,,,,
5573817-607069,1227463229569,#5573817,2616646238337,fulfilled,607069,1,fulfilled,0,,,,,,,
5573817-2942408,1227463229569,#5573817,2616646271105,fulfilled,2942408,1,fulfilled,0,,,,,,,
5573817-1413208,1227463229569,#5573817,2616646303873,fulfilled,1413208,1,fulfilled,0,,,,,,,
5573817-975225,1227463229569,#5573817,2616646336641,fulfilled,975225,1,fulfilled,0,,,,,,,
5573817-309972,1227463229569,#5573817,2616646369409,fulfilled,309972,1,fulfilled,0,,,,,,,
5573817-1013584,1227463229569,#5573817,2616646402177,fulfilled,1013584,1,fulfilled,0,,,,,,,
5573817-918532,1227463229569,#5573817,2616646434945,fulfilled,918532,1,fulfilled,0,,,,,,,
5573817-705034,1227463229569,#5573817,2616646467713,fulfilled,705034,2,fulfilled,0,,,,,,,
5573817-285833,1227463229569,#5573817,2616646500481,fulfilled,285833,1,fulfilled,0,,,,,,,
5573817-488764,1227463229569,#5573817,2616646533249,fulfilled,488764,1,fulfilled,0,,,,,,,
5573817-1458953,1227463229569,#5573817,2616646566017,fulfilled,1458953,1,fulfilled,0,,,,,,,
5573817-518200,1227463229569,#5573817,2616646598785,fulfilled,518200,1,fulfilled,0,,,,,,,
5573817-380107,1227463229569,#5573817,2616646631553,fulfilled,380107,1,fulfilled,0,,,,,,,
5573506-2871410,1227453038721,#5573506,2616626905217,fulfilled,2871410,1,fulfilled,0,,,,,,,
5573506-37364,1227453038721,#5573506,2616626937985,fulfilled,37364,1,fulfilled,0,,,,,,,
5573352-2698715,1227447992449,#5573352,2616616550529,partial,2698715,1,pending,1,,,,,,,
5573352-35942,1227447992449,#5573352,2616616583297,partial,35942,1,fulfilled,0,,,,,,,
5573352-2942920,1227447992449,#5573352,2616616616065,partial,2942920,1,fulfilled,0,,,,,,,
5573352-2495353,1227447992449,#5573352,2616616648833,partial,2495353,1,fulfilled,0,,,,,,,
5573352-569102,1227447992449,#5573352,2616616681601,partial,569102,2,fulfilled,0,,,,,,,
5573352-ecofee-sku-1,1227447992449,#5573352,2616616714369,partial,ecofee-sku-1,1,pending,1,,,,,,,
5573352-ecofee-sku-2,1227447992449,#5573352,2616616747137,partial,ecofee-sku-2,1,pending,1,,,,,,,
5573237-20727,1227444224129,#5573237,2616609702017,partial,20727,1,fulfilled,0,,,,,,,
5573237-2897067,1227444224129,#5573237,2616609734785,partial,2897067,1,pending,1,,,,,,,
5572966-937956,1227435344001,#5572966,2616590532737,partial,937956,1,fulfilled,0,,,,,,,
5572966-2793514,1227435344001,#5572966,2616590565505,partial,2793514,1,fulfilled,0,,,,,,,
5572966-2793517,1227435344001,#5572966,2616590598273,partial,2793517,1,pending,1,,,,,,,
5572966-371729,1227435344001,#5572966,2616590631041,partial,371729,1,fulfilled,0,,,,,,,
5572966-2911063,1227435344001,#5572966,2616590663809,partial,2911063,1,fulfilled,0,,,,,,,
5572966-444817,1227435344001,#5572966,2616590696577,partial,444817,2,fulfilled,0,,,,,,,
5572966-2961997,1227435344001,#5572966,2616590729345,partial,2961997,1,fulfilled,0,,,,,,,
5572966-2961995,1227435344001,#5572966,2616590762113,partial,2961995,1,pending,1,,,,,,,
5572966-959175,1227435344001,#5572966,2616590794881,partial,959175,2,fulfilled,0,,,,,,,
5572966-ecofee-sku-1,1227435344001,#5572966,2616590827649,partial,ecofee-sku-1,2,pending,2,,,,,,,
5572844-1673556,1227431346305,#5572844,2616581030017,partial,1673556,1,fulfilled,0,,,,,,,
5572844-2911947,1227431346305,#5572844,2616581062785,partial,2911947,1,fulfilled,0,,,,,,,
5572844-ecofee-sku-1,1227431346305,#5572844,2616581095553,partial,ecofee-sku-1,1,pending,1,,,,,,,
5572632-482230,1227424399489,#5572632,2616565727361,fulfilled,482230,1,fulfilled,0,,,,,,,
5572632-582353,1227424399489,#5572632,2616565760129,fulfilled,582353,1,fulfilled,0,,,,,,,
5572632-23027,1227424399489,#5572632,2616565792897,fulfilled,23027,1,fulfilled,0,,,,,,,
5572632-2388147,1227424399489,#5572632,2616565825665,fulfilled,2388147,1,fulfilled,0,,,,,,,
5572571-2104584,1227422400641,#5572571,2616560648321,partial,2104584,1,pending,1,,,,,,,
5572571-2104582,1227422400641,#5572571,2616560681089,partial,2104582,1,fulfilled,0,,,,,,,
5572571-482920,1227422400641,#5572571,2616560713857,partial,482920,1,fulfilled,0,,,,,,,
5572571-1265603,1227422400641,#5572571,2616560746625,partial,1265603,10,fulfilled,0,,,,,,,
5572571-12854,1227422400641,#5572571,2616560779393,partial,12854,3,fulfilled,0,,,,,,,
5572483-745931,1227419517057,#5572483,2616554258561,fulfilled,745931,1,fulfilled,0,,,,,,,
5572483-1956646,1227419517057,#5572483,2616554291329,fulfilled,1956646,1,fulfilled,0,,,,,,,
5572483-14336,1227419517057,#5572483,2616554324097,fulfilled,14336,1,fulfilled,0,,,,,,,
5572483-20331,1227419517057,#5572483,2616554356865,fulfilled,20331,1,fulfilled,0,,,,,,,
5571403-2952494,1227384127617,#5571403,2616470306945,partial,2952494,2,fulfilled,0,,,,,,,
5571403-1982473,1227384127617,#5571403,2616470339713,partial,1982473,1,fulfilled,0,,,,,,,
5571403-2797134,1227384127617,#5571403,2616470372481,partial,2797134,2,pending,2,,,,,,,
5571132-505186,1227375247489,#5571132,2616450482305,fulfilled,505186,1,fulfilled,0,,,,,,,
5571132-40723,1227375247489,#5571132,2616450515073,fulfilled,40723,1,fulfilled,0,,,,,,,
5571132-2942019,1227375247489,#5571132,2616450547841,fulfilled,2942019,1,fulfilled,0,,,,,,,
5571017-2942073,1227371479169,#5571017,2616442355841,fulfilled,2942073,1,fulfilled,0,,,,,,,
5571017-680221,1227371479169,#5571017,2616442388609,fulfilled,680221,1,fulfilled,0,,,,,,,
5571017-816215,1227371479169,#5571017,2616442421377,fulfilled,816215,1,fulfilled,0,,,,,,,
5571017-851635,1227371479169,#5571017,2616442454145,fulfilled,851635,3,fulfilled,0,,,,,,,
5570980-2960152,1227370266753,#5570980,2616439799937,partial,2960152,1,fulfilled,0,,,,,,,
5570980-905203,1227370266753,#5570980,2616439832705,partial,905203,1,pending,1,,,,,,,
5570980-887844,1227370266753,#5570980,2616439865473,partial,887844,1,fulfilled,0,,,,,,,
5570980-488764,1227370266753,#5570980,2616439898241,partial,488764,1,pending,1,,,,,,,
5570980-646953,1227370266753,#5570980,2616439931009,partial,646953,1,pending,1,,,,,,,
5570980-751595,1227370266753,#5570980,2616439963777,partial,751595,2,pending,2,,,,,,,
5570978-20196,1227370201217,#5570978,2616439668865,partial,20196,6,pending,6,,,,,,,
5570978-606938,1227370201217,#5570978,2616439701633,partial,606938,3,fulfilled,0,,,,,,,
5570978-813243,1227370201217,#5570978,2616439734401,partial,813243,6,fulfilled,0,,,,,,,
5570972-19568,1227370004609,#5570972,2616439341185,fulfilled,19568,2,fulfilled,0,,,,,,,
5570972-45118,1227370004609,#5570972,2616439373953,fulfilled,45118,1,fulfilled,0,,,,,,,
5570956-684976,1227369480321,#5570956,2616437997697,partial,684976,1,fulfilled,0,,,,,,,
5570956-712617,1227369480321,#5570956,2616438030465,partial,712617,2,fulfilled,0,,,,,,,
5570956-2960890,1227369480321,#5570956,2616438063233,partial,2960890,1,pending,1,,,,,,,
5570955-21294,1227369447553,#5570955,2616437833857,fulfilled,21294,1,fulfilled,0,,,,,,,
5570955-1956733,1227369447553,#5570955,2616437866625,fulfilled,1956733,1,fulfilled,0,,,,,,,
5570955-798219,1227369447553,#5570955,2616437899393,fulfilled,798219,1,fulfilled,0,,,,,,,
5570955-582353,1227369447553,#5570955,2616437932161,fulfilled,582353,1,fulfilled,0,,,,,,,
5570955-2942998,1227369447553,#5570955,2616437964929,fulfilled,2942998,1,fulfilled,0,,,,,,,
5570945-132269,1227369119873,#5570945,2616436949121,fulfilled,132269,2,fulfilled,0,,,,,,,
5570945-135077,1227369119873,#5570945,2616436981889,fulfilled,135077,2,fulfilled,0,,,,,,,
5570945-1956750,1227369119873,#5570945,2616437014657,fulfilled,1956750,1,fulfilled,0,,,,,,,
5570945-43580,1227369119873,#5570945,2616437047425,fulfilled,43580,1,fulfilled,0,,,,,,,
5570945-798212,1227369119873,#5570945,2616437080193,fulfilled,798212,1,fulfilled,0,,,,,,,
5570945-2942009,1227369119873,#5570945,2616437112961,fulfilled,2942009,3,fulfilled,0,,,,,,,
5570945-333564,1227369119873,#5570945,2616437145729,fulfilled,333564,3,fulfilled,0,,,,,,,
5570945-751596,1227369119873,#5570945,2616437178497,fulfilled,751596,1,fulfilled,0,,,,,,,
5570945-444820,1227369119873,#5570945,2616437211265,fulfilled,444820,1,fulfilled,0,,,,,,,
5570930-428553,1227368628353,#5570930,2616435966081,partial,428553,1,fulfilled,0,,,,,,,
5570930-1460891,1227368628353,#5570930,2616435998849,partial,1460891,1,pending,1,,,,,,,
5570930-2943715,1227368628353,#5570930,2616436031617,partial,2943715,1,fulfilled,0,,,,,,,
5570874-2104287,1227366793345,#5570874,2616432263297,fulfilled,2104287,2,fulfilled,0,,,,,,,
5570874-710246,1227366793345,#5570874,2616432296065,fulfilled,710246,1,fulfilled,0,,,,,,,
5570861-167633,1227366367361,#5570861,2616431247489,fulfilled,167633,1,fulfilled,0,,,,,,,
5570861-2956289,1227366367361,#5570861,2616431280257,fulfilled,2956289,1,fulfilled,0,,,,,,,
5570860-10872,1227366334593,#5570860,2616431083649,partial,10872,1,pending,1,,,,,,,
5570860-575245,1227366334593,#5570860,2616431116417,partial,575245,1,pending,1,,,,,,,
5570860-26554,1227366334593,#5570860,2616431149185,partial,26554,1,fulfilled,0,,,,,,,
5570860-383968,1227366334593,#5570860,2616431181953,partial,383968,3,pending,3,,,,,,,
5570860-1463275,1227366334593,#5570860,2616431214721,partial,1463275,1,fulfilled,0,,,,,,,
5570848-24395784,1227365941377,#5570848,2616429838465,partial,24395784,4,pending,4,,,,,,,
5570848-24395765,1227365941377,#5570848,2616429871233,partial,24395765,4,pending,4,,,,,,,
5570848-24395785,1227365941377,#5570848,2616429904001,partial,24395785,4,pending,4,,,,,,,
5570848-24395762,1227365941377,#5570848,2616429936769,partial,24395762,4,fulfilled,0,,,,,,,
5570848-655692,1227365941377,#5570848,2616429969537,partial,655692,6,fulfilled,0,,,,,,,
5570848-2145185,1227365941377,#5570848,2616430002305,partial,2145185,4,pending,4,,,,,,,
5570848-2145184,1227365941377,#5570848,2616430035073,partial,2145184,2,pending,2,,,,,,,
5570846-441814,1227365875841,#5570846,2616429674625,partial,441814,1,fulfilled,0,,,,,,,
5570846-380479,1227365875841,#5570846,2616429707393,partial,380479,1,pending,1,,,,,,,
5570846-274905,1227365875841,#5570846,2616429740161,partial,274905,1,fulfilled,0,,,,,,,
5570722-738493,1227361812609,#5570722,2616419385473,fulfilled,738493,2,fulfilled,0,,,,,,,
5570722-14007,1227361812609,#5570722,2616419418241,fulfilled,14007,10,fulfilled,0,,,,,,,
5570722-613569,1227361812609,#5570722,2616419451009,fulfilled,613569,4,fulfilled,0,,,,,,,
5570722-483532,1227361812609,#5570722,2616419483777,fulfilled,483532,4,fulfilled,0,,,,,,,
5570722-978010,1227361812609,#5570722,2616419516545,fulfilled,978010,5,fulfilled,0,,,,,,,
5570722-978011,1227361812609,#5570722,2616419549313,fulfilled,978011,5,fulfilled,0,,,,,,,
5570722-22545,1227361812609,#5570722,2616419582081,fulfilled,22545,1,fulfilled,0,,,,,,,
5570722-2401240,1227361812609,#5570722,2616419614849,fulfilled,2401240,1,fulfilled,0,,,,,,,
5570722-733990,1227361812609,#5570722,2616419647617,fulfilled,733990,2,fulfilled,0,,,,,,,
5570645-733072,1227359289473,#5570645,2616414142593,partial,733072,1,fulfilled,0,,,,,,,
5570645-736240,1227359289473,#5570645,2616414175361,partial,736240,1,fulfilled,0,,,,,,,
5570645-391318,1227359289473,#5570645,2616414208129,partial,391318,2,fulfilled,0,,,,,,,
5570645-1115010,1227359289473,#5570645,2616414240897,partial,1115010,1,fulfilled,0,,,,,,,
5570645-36020,1227359289473,#5570645,2616414273665,partial,36020,1,pending,1,,,,,,,
5570622-684968,1227358535809,#5570622,2616412373121,partial,684968,1,pending,1,,,,,,,
5570622-1883469,1227358535809,#5570622,2616412405889,partial,1883469,1,fulfilled,0,,,,,,,
5570622-2937157,1227358535809,#5570622,2616412438657,partial,2937157,1,pending,1,,,,,,,
5570622-2448718,1227358535809,#5570622,2616412471425,partial,2448718,1,fulfilled,0,,,,,,,
5570622-2927217,1227358535809,#5570622,2616412504193,partial,2927217,1,pending,1,,,,,,,
5570611-2905548,1227358175361,#5570611,2616411684993,partial,2905548,1,fulfilled,0,,,,,,,
5570611-1913118,1227358175361,#5570611,2616411717761,partial,1913118,1,fulfilled,0,,,,,,,
5570611-ecofee-sku-1,1227358175361,#5570611,2616411750529,partial,ecofee-sku-1,1,pending,1,,,,,,,
